pair_id,pair_role,pair_type,unordered_entity_a,unordered_entity_b,label_a_to_b,label_b_to_a,student_entity,supervisor_entity,train_entity_1,train_entity_2,train_label,reverse_entity_1,reverse_entity_2,reverse_label,reverse_split
pair_000001,query,supervision_edge,entity_0038,entity_0002,1,0,entity_0038,entity_0002,entity_0002,entity_0038,0,entity_0038,entity_0002,1,validation
pair_000002,demo,supervision_edge,entity_0040,entity_0032,1,0,entity_0040,entity_0032,entity_0040,entity_0032,1,entity_0032,entity_0040,0,train
pair_000003,demo,supervision_edge,entity_0037,entity_0053,1,0,entity_0037,entity_0053,entity_0037,entity_0053,1,entity_0053,entity_0037,0,train
pair_000004,demo,supervision_edge,entity_0059,entity_0028,1,0,entity_0059,entity_0028,entity_0059,entity_0028,1,entity_0028,entity_0059,0,train
pair_000005,demo,supervision_edge,entity_0048,entity_0053,1,0,entity_0048,entity_0053,entity_0053,entity_0048,0,entity_0048,entity_0053,1,train
pair_000006,query,supervision_edge,entity_0036,entity_0032,1,0,entity_0036,entity_0032,entity_0032,entity_0036,0,entity_0036,entity_0032,1,test
pair_000007,query,supervision_edge,entity_0024,entity_0043,1,0,entity_0024,entity_0043,entity_0024,entity_0043,1,entity_0043,entity_0024,0,test
pair_000008,query,supervision_edge,entity_0042,entity_0026,1,0,entity_0042,entity_0026,entity_0042,entity_0026,1,entity_0026,entity_0042,0,test
pair_000009,query,supervision_edge,entity_0017,entity_0004,1,0,entity_0017,entity_0004,entity_0004,entity_0017,0,entity_0017,entity_0004,1,test
pair_000010,query,supervision_edge,entity_0052,entity_0026,1,0,entity_0052,entity_0026,entity_0026,entity_0052,0,entity_0052,entity_0026,1,test
pair_000011,query,supervision_edge,entity_0033,entity_0004,1,0,entity_0033,entity_0004,entity_0004,entity_0033,0,entity_0033,entity_0004,1,test
pair_000012,query,supervision_edge,entity_0054,entity_0027,1,0,entity_0054,entity_0027,entity_0054,entity_0027,1,entity_0027,entity_0054,0,validation
pair_000013,query,supervision_edge,entity_0015,entity_0002,1,0,entity_0015,entity_0002,entity_0002,entity_0015,0,entity_0015,entity_0002,1,validation
pair_000014,query,supervision_edge,entity_0001,entity_0043,1,0,entity_0001,entity_0043,entity_0001,entity_0043,1,entity_0043,entity_0001,0,test
pair_000015,demo,supervision_edge,entity_0056,entity_0053,1,0,entity_0056,entity_0053,entity_0053,entity_0056,0,entity_0056,entity_0053,1,train
pair_000016,demo,supervision_edge,entity_0055,entity_0014,1,0,entity_0055,entity_0014,entity_0055,entity_0014,1,entity_0014,entity_0055,0,train
pair_000017,query,supervision_edge,entity_0031,entity_0014,1,0,entity_0031,entity_0014,entity_0014,entity_0031,0,entity_0031,entity_0014,1,test
pair_000018,query,supervision_edge,entity_0021,entity_0026,1,0,entity_0021,entity_0026,entity_0021,entity_0026,1,entity_0026,entity_0021,0,test
pair_000019,query,supervision_edge,entity_0018,entity_0053,1,0,entity_0018,entity_0053,entity_0018,entity_0053,1,entity_0053,entity_0018,0,test
pair_000020,query,supervision_edge,entity_0018,entity_0004,1,0,entity_0018,entity_0004,entity_0004,entity_0018,0,entity_0018,entity_0004,1,test
pair_000021,query,supervision_edge,entity_0042,entity_0043,1,0,entity_0042,entity_0043,entity_0042,entity_0043,1,entity_0043,entity_0042,0,test
pair_000022,demo,supervision_edge,entity_0022,entity_0043,1,0,entity_0022,entity_0043,entity_0022,entity_0043,1,entity_0043,entity_0022,0,train
pair_000023,query,supervision_edge,entity_0012,entity_0047,1,0,entity_0012,entity_0047,entity_0012,entity_0047,1,entity_0047,entity_0012,0,test
pair_000024,query,supervision_edge,entity_0057,entity_0004,1,0,entity_0057,entity_0004,entity_0057,entity_0004,1,entity_0004,entity_0057,0,test
pair_000025,query,supervision_edge,entity_0016,entity_0026,1,0,entity_0016,entity_0026,entity_0026,entity_0016,0,entity_0016,entity_0026,1,test
pair_000026,query,supervision_edge,entity_0019,entity_0025,1,0,entity_0019,entity_0025,entity_0025,entity_0019,0,entity_0019,entity_0025,1,validation
pair_000027,query,supervision_edge,entity_0017,entity_0028,1,0,entity_0017,entity_0028,entity_0028,entity_0017,0,entity_0017,entity_0028,1,test
pair_000028,demo,supervision_edge,entity_0045,entity_0007,1,0,entity_0045,entity_0007,entity_0045,entity_0007,1,entity_0007,entity_0045,0,train
pair_000029,demo,supervision_edge,entity_0023,entity_0002,1,0,entity_0023,entity_0002,entity_0002,entity_0023,0,entity_0023,entity_0002,1,train
pair_000030,demo,supervision_edge,entity_0056,entity_0032,1,0,entity_0056,entity_0032,entity_0032,entity_0056,0,entity_0056,entity_0032,1,train
pair_000031,query,supervision_edge,entity_0039,entity_0004,1,0,entity_0039,entity_0004,entity_0039,entity_0004,1,entity_0004,entity_0039,0,test
pair_000032,demo,supervision_edge,entity_0051,entity_0007,1,0,entity_0051,entity_0007,entity_0007,entity_0051,0,entity_0051,entity_0007,1,train
pair_000033,demo,supervision_edge,entity_0033,entity_0014,1,0,entity_0033,entity_0014,entity_0014,entity_0033,0,entity_0033,entity_0014,1,train
pair_000034,demo,supervision_edge,entity_0005,entity_0043,1,0,entity_0005,entity_0043,entity_0005,entity_0043,1,entity_0043,entity_0005,0,train
pair_000035,demo,supervision_edge,entity_0055,entity_0027,1,0,entity_0055,entity_0027,entity_0055,entity_0027,1,entity_0027,entity_0055,0,train
pair_000036,query,supervision_edge,entity_0034,entity_0025,1,0,entity_0034,entity_0025,entity_0025,entity_0034,0,entity_0034,entity_0025,1,test
pair_000037,demo,supervision_edge,entity_0030,entity_0047,1,0,entity_0030,entity_0047,entity_0030,entity_0047,1,entity_0047,entity_0030,0,train
pair_000038,query,supervision_edge,entity_0010,entity_0025,1,0,entity_0010,entity_0025,entity_0025,entity_0010,0,entity_0010,entity_0025,1,test
pair_000039,query,supervision_edge,entity_0020,entity_0007,1,0,entity_0020,entity_0007,entity_0020,entity_0007,1,entity_0007,entity_0020,0,test
pair_000040,demo,supervision_edge,entity_0005,entity_0027,1,0,entity_0005,entity_0027,entity_0027,entity_0005,0,entity_0005,entity_0027,1,train
pair_000041,demo,supervision_edge,entity_0046,entity_0027,1,0,entity_0046,entity_0027,entity_0046,entity_0027,1,entity_0027,entity_0046,0,train
pair_000042,query,supervision_edge,entity_0006,entity_0014,1,0,entity_0006,entity_0014,entity_0006,entity_0014,1,entity_0014,entity_0006,0,test
pair_000043,query,supervision_edge,entity_0058,entity_0007,1,0,entity_0058,entity_0007,entity_0007,entity_0058,0,entity_0058,entity_0007,1,test
pair_000044,demo,supervision_edge,entity_0048,entity_0025,1,0,entity_0048,entity_0025,entity_0048,entity_0025,1,entity_0025,entity_0048,0,train
pair_000045,demo,supervision_edge,entity_0050,entity_0032,1,0,entity_0050,entity_0032,entity_0032,entity_0050,0,entity_0050,entity_0032,1,train
pair_000046,query,supervision_edge,entity_0041,entity_0014,1,0,entity_0041,entity_0014,entity_0014,entity_0041,0,entity_0041,entity_0014,1,validation
pair_000047,demo,supervision_edge,entity_0008,entity_0025,1,0,entity_0008,entity_0025,entity_0008,entity_0025,1,entity_0025,entity_0008,0,train
pair_000048,demo,supervision_edge,entity_0037,entity_0043,1,0,entity_0037,entity_0043,entity_0043,entity_0037,0,entity_0037,entity_0043,1,train
pair_000049,demo,supervision_edge,entity_0009,entity_0028,1,0,entity_0009,entity_0028,entity_0009,entity_0028,1,entity_0028,entity_0009,0,train
